Tool_Name_Standardised,Name_Variants,Discovery_Count,LLM_Services,LLM_Services_Count,LLM_Models,Harnesses,Journals,Journals_Count,Run_Qualities,Sample_Article_Title,Sample_URL,Hallucination_Risk,Verification_Outcome
WaveSurfer 1.8.8,WaveSurfer 1.8.8 (audio analysis software),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The song of air and water: Acoustic experiments with an Ecuadorian Whistle Bottle (c.900 BC–100 BC),https://intarch.ac.uk/journal/issue52/2/index.html,LOW,VERIFIED
Wcvt2Pov,Wcvt2Pov,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Sensuous and reflexive GIS: exploring visualisation and VRML,https://intarch.ac.uk/journal/issue1/gillings_toc.html,LOW,VERIFIED
WordPress,WordPress,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,"Day of Archaeology 2011–2017: Global Community, Public Engagement, and Digital Practice",https://intarch.ac.uk/journal/issue47/richardson_et_al_toc.html,MEDIUM,MISATTRIBUTED
XVR,XVR,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Communicating Archaeological Risk with Web-Based Virtual Reality: A Case Study,https://intarch.ac.uk/journal/issue31/landeschi-carrozzino_index.html,MEDIUM,VERIFIED
York System,York System,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The York System: An integrated zooarchaeological database for research and teaching,https://intarch.ac.uk/journal/issue13/harland_index.html,LOW,VERIFIED
Zooniverse Project Builder,Zooniverse Project Builder (DataScribe: An Omeka S module for structured data transcription),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,DataScribe: An Omeka S module for structured data transcription (Journal of Open Source Software: DataScribe: An Omeka S module for structured data transcription),https://joss.theoj.org/papers/10.21105/joss.05661,LOW,VERIFIED
aRchaic,aRchaic,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,aRchaic: Exploratory Data Analysis of Ancient DNA Damage Patterns in R,https://joss.theoj.org/papers/10.21105/joss.01094,LOW (cross-validated),VERIFIED
ade4,ade4,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data (Journal of Open Source Software: tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data)",https://joss.theoj.org/papers/10.21105/joss.01821,LOW,VERIFIED
aion,aion,3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,aion: A toolkit for simulating historical processes using agent-based modeling,https://joss.theoj.org/papers/10.21105/joss.04589,LOW (cross-validated),VERIFIED
archCandy,archCandy,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,archCandy: GIS-based sweet-spot detection for archaeological surveys in Python,https://joss.theoj.org/papers/10.21105/joss.01241,LOW (cross-validated),CONFABULATED
archeoViz,archeoViz,3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,archeoViz: A Web Interface for Spatial and Chronological Data Visualization in Archaeology,https://joss.theoj.org/papers/10.21105/joss.02361,LOW (cross-validated),VERIFIED
archr,archr,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,archr: Automated Radiocarbon Chronology for R (pilot),https://joss.theoj.org/papers/10.21105/joss.00840,LOW (cross-validated),CONFABULATED
argus,argus,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,argus: Time-series analysis for archaeological geophysics in R,https://joss.theoj.org/papers/10.21105/joss.01099,LOW (cross-validated),CONFABULATED
bleiglas,bleiglas,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,fail-possible | success-secondpass,"bleiglas: An R package for interpolation and visualisation of spatiotemporal data with 3D tessellation,""N/A","Vol. 4, Iss. 37",MEDIUM,VERIFIED
c14bazAAR,c14bazAAR,3,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,c14bazAAR: An R package for downloading and preparing C14 dates from different databases,https://joss.theoj.org/papers/10.21105/joss.01914,LOW (cross-validated),VERIFIED
chora,chora,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,chora: R package for analyzing morphological variables in chorology (historical geography),https://joss.theoj.org/papers/10.21105/joss.01225,LOW (cross-validated),CONFABULATED
dataARC cyberinfrastructure,dataARC cyberinfrastructure,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,A Lockpick’s Guide to dataARC: Designing Infrastructures and Building Communities to Enable Transdisciplinary Research,https://intarch.ac.uk/journal/issue56/15/index.html,LOW,VERIFIED
dplR,"dplR (fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series.)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series. (Journal of Open Source Software: fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series)",https://joss.theoj.org/papers/10.21105/joss.06716,LOW,VERIFIED
fellingdater,fellingdater,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series. (Journal of Open Source Software: fellingdater: a toolkit to estimate, report and combine felling dates derived from historical tree-ring series)",https://joss.theoj.org/papers/10.21105/joss.06716,LOW,VERIFIED
geoChronR,geoChronR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,fail-possible,"geoChronR: Geochronological tools for paleoclimate data in R,""N/A","Vol. 5, Iss. 45",MEDIUM,VERIFIED
glottoTrees,glottoTrees (glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,LOW,VERIFIED
glottospace,glottospace,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,LOW,VERIFIED
gvSIG CE,gvSIG CE,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,fail | success,Free and Open Source Software development in Archaeology. Two interrelated case studies: gvSIG CE and Survey2GIS,https://intarch.ac.uk/journal/issue43/bibby-ducke_toc.html,MEDIUM,VERIFIED
htmlfig,htmlfig,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Editorial,https://intarch.ac.uk/journal/issue2/edit2.html,LOW,VERIFIED
htmltoc,htmltoc,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Editorial,https://intarch.ac.uk/journal/issue2/edit2.html,LOW,VERIFIED
iDig,iDig,4,ChatGPT Deep Research | Perplexity Deep Research,2,Unknown (Deep Research) | Perplexity Pro,Deep Research (web) | Perplexity (web),Multiple (sample run) | Internet Archaeology | Multiple,3,sample | fail | success | synthetic-prompt,,,LOW (cross-validated),VERIFIED
iconr,iconr (Analysis of Prehistoric Iconography with the R package iconr),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,Analysis of Prehistoric Iconography with the R package iconr (Journal of Open Source Software: Analysis of Prehistoric Iconography with the R package iconr),https://joss.theoj.org/papers/10.21105/joss.03191,LOW,VERIFIED
kairos,kairos (aion: An R Package to Represent Archaeological Time Series) | kairos,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,aion: An R Package to Represent Archaeological Time Series (Journal of Open Source Software: aion: An R Package to Represent Archaeological Time Series),https://joss.theoj.org/papers/10.21105/joss.06210,LOW,VERIFIED
kdedemo1,kdedemo1,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The archaeological use of Kernel Density Estimates,https://intarch.ac.uk/journal/issue1/beardah_toc.html,LOW,VERIFIED
kdedemo2,kdedemo2,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,The archaeological use of Kernel Density Estimates,https://intarch.ac.uk/journal/issue1/beardah_toc.html,LOW,VERIFIED
lingtypR,lingtypR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,LOW,VERIFIED
lingtypology,lingtypology,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,LOW,VERIFIED
mapDamage,mapDamage,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,mapDamage: Ancient DNA damage estimation and plotting in Python,https://joss.theoj.org/papers/10.21105/joss.01160,LOW (cross-validated),VERIFIED
mortAAR,mortAAR,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,mortAAR: Mortality modeling and analysis in archaeology using R,https://joss.theoj.org/papers/10.21105/joss.01175,LOW (cross-validated),VERIFIED
movecost,movecost (R package for least-cost path analysis in archaeological landscape studies),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,movecost: An R package for calculating accumulated slope-dependent anisotropic cost-surfaces and least-cost paths,https://doi.org/10.1016/j.softx.2019.10.002,MEDIUM,VERIFIED
oxcAAR,oxcAAR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,shoredate: An R package for shoreline dating coastal Stone Age sites (Journal of Open Source Software: shoredate: An R package for shoreline dating coastal Stone Age sites),https://joss.theoj.org/papers/10.21105/joss.05337,LOW,VERIFIED
pastR,pastR,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,pastR: Tools for paleontological site record analysis in R,https://joss.theoj.org/papers/10.21105/joss.01197,LOW (cross-validated),CONFABULATED
pnuts,pnuts,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Editorial,https://intarch.ac.uk/journal/issue2/edit2.html,LOW,VERIFIED
pyArchaeo,pyArchaeo,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,pyArchaeo: A Python toolkit for processing 3D scan data in archaeology,https://joss.theoj.org/papers/10.21105/joss.01096,LOW (cross-validated),CONFABULATED
pyrho,pyrho,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,pyrho: a Python package for inferring local recombination rates from ancient DNA,https://joss.theoj.org/papers/10.21105/joss.01130,LOW (cross-validated),VERIFIED
qlcData,qlcData,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data (Journal of Open Source Software: glottospace: R package for language mapping and geospatial analysis of linguistic and cultural data),https://joss.theoj.org/papers/10.21105/joss.04303,LOW,VERIFIED
rcarbon,rcarbon,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,aion: An R Package to Represent Archaeological Time Series (Journal of Open Source Software: aion: An R Package to Represent Archaeological Time Series),https://joss.theoj.org/papers/10.21105/joss.06210,LOW,VERIFIED
recexcavAAR,recexcavAAR,2,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data (Journal of Open Source Software: archeoViz: an R package for the Visualisation, Exploration, and Web Communication of Archaeological Spatial Data)",https://joss.theoj.org/papers/10.21105/joss.05811,LOW,VERIFIED
relevant to historical sciences but lacks direct archaeology mention),relevant to historical sciences but lacks direct archaeology mention),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,ringR: An R package for analyzing and modeling tree-ring growth,https://doi.org/10.1016/j.softx.2019.100325,MEDIUM,CONFABULATED
rhip,rhip,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,rhip: Tools for reconstructing historical images for archaeology and photography,https://joss.theoj.org/papers/10.21105/joss.01032,LOW (cross-validated),CONFABULATED
ringR (R package for dendrochronology,ringR (R package for dendrochronology,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,ringR: An R package for analyzing and modeling tree-ring growth,https://doi.org/10.1016/j.softx.2019.100325,MEDIUM,CONFABULATED
shoredate,shoredate,4,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,shoredate: Bayesian Shoreline Dating in R for Archaeology,https://joss.theoj.org/papers/10.21105/joss.01076,LOW (cross-validated),VERIFIED
straditize,straditize (Journal of Open Source Software: straditize: Digitizing stratigraphic diagrams),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,straditize: Digitizing stratigraphic diagrams (Journal of Open Source Software: straditize: Digitizing stratigraphic diagrams),https://joss.theoj.org/papers/10.21105/joss.01216,LOW,VERIFIED
stratigraphr,stratigraphr,5,ChatGPT Deep Research | OpenAI o3 | Perplexity Deep Research,3,Unknown (Deep Research) | o3 | Perplexity Pro,Deep Research (web) | Web chat (o3) | Perplexity (web),Multiple (sample run) | JOSS | Multiple,3,sample | worthless | fail-possible | success-secondpass | synthetic-prompt,,,LOW (cross-validated),VERIFIED
tDAR,tDAR,1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),Internet Archaeology,1,success,Digital Archaeological Data in the Wild West: the challenge of practising responsible digital data archiving and access in the United States,https://intarch.ac.uk/journal/issue58/22/index.html,LOW,VERIFIED
tabula,tabula,4,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible | success-secondpass,"tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data",https://joss.theoj.org/papers/10.21105/joss.01821,LOW (cross-validated),VERIFIED
tgcd,tgcd (R package for thermoluminescence dating analysis),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),SoftwareX,1,access-fail,tgcd: An R package for analyzing thermoluminescence glow curves,https://doi.org/10.1016/j.softx.2016.12.005,MEDIUM,VERIFIED
tidypaleo,tidypaleo,2,OpenAI o3 | ChatGPT Deep Research,2,o3 | Unknown (Deep Research),Web chat (o3) | Deep Research (web),JOSS,1,worthless | fail-possible,tidypaleo: Tidy tools for summarizing and analyzing stratigraphic data in R,https://joss.theoj.org/papers/10.21105/joss.00603,LOW (cross-validated),VERIFIED
time2aoristic,time2aoristic (R script),1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOAD,1,extreme fail,"Spatio-Temporal Distributions of Middle to Late Jomon Pithouses in Oyumino, Chiba (Japan)",https://doi.org/10.5334/4f8eb4078284b,HIGH,CONFABULATED
vegan,"vegan (tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data)",1,ChatGPT Deep Research,1,Unknown (Deep Research),Deep Research (web),JOSS,1,success-secondpass,"tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data (Journal of Open Source Software: tabula: An R Package for Analysis, Seriation, and Visualization of Archaeological Count Data)",https://joss.theoj.org/papers/10.21105/joss.01821,LOW,VERIFIED
